Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_1058_1x2032,1,Coin Cell,
"C1, C2",0805,2,4.7uF,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Display,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-17,1,USB C,
J3,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,LiPo Batt,
LED1,0805,1,Charger LED,
"R1, R2",0805,2,5.1k,
R3,0805,1,3.6k,
R4,0805,1,470,
SW1,SW_TH_Tactile_Omron_B3F-100x,1,Wake,
SW2,SW_TH_Tactile_Omron_B3F-100x,1,Select,
SW3,SW_TH_Tactile_Omron_B3F-100x,1,Set,
SW4,SW_TH_Tactile_Omron_B3F-100x,1,Reset,
U1,DIP-8_W7.62mm,1,ATTINY85,
U2,SOT-23-5,1,MCP73831-2-OT,
