Designator,Mid X,Mid Y,Rotation,Layer
BT1,147.83,-94.6835,0.0,bottom
C1,164.9974,-94.7299,0.0,top
C2,164.9537,-92.1564,0.0,top
J1,146.05,-77.47,90.0,top
J2,157.4366,-70.2099,180.0,top
J3,160.02,-78.6132,270.0,bottom
LED1,165.1398,-78.7881,90.0,top
R1,163.9122,-74.1145,90.0,top
R2,166.0672,-74.1194,90.0,top
R3,164.9402,-89.5507,180.0,top
R4,164.8992,-87.1379,180.0,top
SW1,147.5452,-68.8996,0.0,top
SW2,127.5276,-76.0657,0.0,top
SW3,127.4578,-83.4588,0.0,top
SW4,138.6163,-68.9173,0.0,top
U1,128.1088,-92.71,0.0,top
U2,165.0802,-83.2205,180.0,top
