Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_1060_1x2032,1,BT1,C238069
"C1, C2",0805,2,4.7uF,C380343
J1,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB C,C7507406
J2,JST_PH_1x06_2mm_horizontal.pretty,1,PROG,C265405
LED1,0805,1,Charger LED,C19171391
P1,JST_PH_1x02_2mm_horizontal,1,LIPO B2,C295747
R1,0805,1,6.8k,C17772
R2,0805,1,470,C2907329
"R3, R4",0805,2,5.1k,C2930296
RST1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,RST,C2689642
SEL1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,SEL,C2689642
SET1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,SET,C2689642
U1,SOT-23-5,1,MCP73831-2-OT,C424093
U2,8S2_ATM-L,1,ATTINY85-20SUR,C31540447
WK1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,WK,C2689642
