Designator,Mid X,Mid Y,Rotation,Layer
BT1,150.88,-90.19,180.0,bottom
C1,154.893756,-73.381996,90.0,bottom
C2,157.06,-73.42,270.0,bottom
J1,136.56,-102.117,0.0,bottom
J2,139.65,-70.6255,0.0,bottom
LED1,157.5125,-75.255,180.0,top
P1,136.486348,-80.8475,0.0,bottom
R1,152.28,-69.26,270.0,bottom
R2,153.3175,-75.21,0.0,top
R3,138.79,-96.1275,90.0,bottom
R4,136.27,-96.1275,90.0,bottom
RST1,148.29,-70.9,90.0,top
SEL1,137.903333,-70.9,90.0,top
SET1,132.71,-70.9,90.0,top
U1,156.11,-69.470709,0.0,bottom
U2,155.4151,-70.495,270.0,top
WK1,143.096667,-70.9,90.0,top
